iter	Logloss
0	0.669200236
1	0.6496097819
2	0.6356018745
3	0.6203860135
4	0.6076770698
5	0.5950372993
6	0.5876072862
7	0.5773312039
8	0.5716202799
9	0.5636608209
10	0.5571028646
11	0.5509047445
12	0.5462169732
13	0.5423159451
14	0.5387584432
15	0.5343111844
16	0.532110867
17	0.5291601563
18	0.5266757541
19	0.5240293376
20	0.5205461968
21	0.5170081923
22	0.5154691908
23	0.5141352675
24	0.5121145969
25	0.5092721219
26	0.5070206706
27	0.5049854194
28	0.502768826
29	0.5017155287
30	0.4998001438
31	0.4979142931
32	0.4969342041
33	0.495267707
34	0.4934444851
35	0.4919665527
36	0.4903769938
37	0.4883201769
38	0.4873349338
39	0.4858952162
40	0.4848313734
41	0.4833314345
42	0.4823744371
43	0.4815156386
44	0.4809280735
45	0.4793863254
46	0.4783139038
47	0.477412618
48	0.4763152737
49	0.4755973985
50	0.4748499891
51	0.4736895074
52	0.4725174967
53	0.4716327582
54	0.470177341
55	0.4691370646
56	0.468294949
57	0.4676231215
58	0.4666741265
59	0.4659442478
60	0.4650026788
61	0.4644700114
62	0.4636747233
63	0.462966512
64	0.4620877753
65	0.4616870117
66	0.4613208008
67	0.4606928168
68	0.4600792101
69	0.4595224677
70	0.4587632243
71	0.4581534831
72	0.4573356459
73	0.4567152235
74	0.4553864204
75	0.4545915392
76	0.4537506104
77	0.4532699585
78	0.4526824951
79	0.4520244683
