iter	Passed	Remaining
0	0	20
1	0	28
2	0	28
3	1	28
4	1	26
5	1	26
6	1	26
7	2	25
8	3	34
9	3	33
10	3	33
11	4	33
12	4	32
13	4	32
14	5	31
15	5	29
16	5	28
17	5	28
18	6	27
19	6	27
20	7	29
21	7	28
22	7	27
23	8	27
24	8	26
25	8	26
26	8	25
27	8	24
28	9	23
29	9	23
30	9	22
31	9	22
32	9	21
33	10	21
34	10	20
35	10	20
36	10	19
37	10	19
38	11	20
39	12	19
40	12	19
41	12	18
42	12	18
43	13	18
44	13	17
45	13	17
46	13	16
47	13	16
48	14	16
49	14	15
50	14	15
51	14	15
52	15	14
53	15	14
54	15	14
55	15	13
56	16	14
57	17	13
58	17	13
59	17	13
60	17	12
61	17	12
62	18	12
63	18	11
64	18	11
65	18	11
66	18	10
67	19	10
68	19	10
69	19	9
70	19	9
71	19	9
72	20	8
73	20	8
74	20	8
75	20	7
76	21	7
77	21	7
78	21	7
79	21	6
